wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 4WEEK, 50C 0_MeOH 1WEEK, 50C 10_MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20_MeOH 4WEEK, 80C 0_ MeOH 4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 4WEEK, 80C 10_MeOH 1WEEK, 80C 20_MeOH 1WEEK, 80C 20_MeOH 4WEEK
798.3853,0.1840656,0.183832,0.1834336,0.183859,0.1862195,0.1834722,0.1838348,0.1849755,0.1837655,0.1842983,0.1853527,0.1840342,0.1847995
800.3137,0.1819632,0.1815215,0.1826512,0.1810331,0.1847135,0.1820078,0.1829413,0.1832248,0.1815099,0.1824636,0.1839347,0.1802653,0.1830849
802.2422,0.1803615,0.1794306,0.1815936,0.1780924,0.1825268,0.1805894,0.1817331,0.180932,0.178344,0.1794402,0.1813156,0.1781095,0.1808643
804.1707,0.1799755,0.1770577,0.1793669,0.1767306,0.1800807,0.1785116,0.1782981,0.1782576,0.1754504,0.1768329,0.1787898,0.1772002,0.1775864
806.0991,0.1772415,0.1742779,0.1769884,0.1745571,0.1780066,0.1752934,0.1760564,0.1757568,0.1738991,0.1758838,0.1770755,0.1746783,0.1753112
808.0276,0.1736065,0.1726091,0.1752407,0.1713653,0.1760758,0.1725725,0.1742126,0.1729777,0.1720233,0.1732278,0.1752202,0.1724993,0.1726626
809.9561,0.1706012,0.1708768,0.1724833,0.1697006,0.1740214,0.1714929,0.1708528,0.1707308,0.1687455,0.1704748,0.1729995,0.170709,0.1705827
811.8845,0.1690907,0.1682246,0.1691103,0.1677139,0.1703312,0.169815,0.1681472,0.1691554,0.1655528,0.1689865,0.1697106,0.1694874,0.1686326
813.813,0.1669251,0.1664079,0.1673327,0.1659077,0.1675827,0.1677799,0.1670422,0.1667631,0.1641698,0.166628,0.1665519,0.1673674,0.1662429
815.7415,0.1636891,0.1642953,0.1657796,0.1644733,0.1660235,0.1656461,0.1663881,0.1637089,0.1625468,0.1634973,0.1643427,0.1642902,0.1634037
817.6699,0.1609512,0.1624902,0.1632087,0.1627994,0.1643422,0.1636828,0.16445,0.1621343,0.1604981,0.1612415,0.1640128,0.1610659,0.1613956
819.5984,0.1593365,0.1618479,0.1606682,0.1598666,0.1627229,0.1617052,0.1615902,0.1601486,0.1583598,0.1592025,0.1619611,0.1582059,0.1595989
821.5269,0.158929,0.1589191,0.1584241,0.1568031,0.1602627,0.1583299,0.1576874,0.1582795,0.156271,0.1573735,0.1589189,0.1566814,0.1578398
823.4553,0.1573127,0.1557369,0.1567962,0.1547017,0.1576353,0.1564299,0.1556301,0.1564983,0.154596,0.1553555,0.1567562,0.1555123,0.1571143
825.3838,0.1552923,0.1543382,0.1555583,0.1523201,0.1558073,0.1560374,0.1555845,0.1552526,0.153051,0.1529282,0.154726,0.1535653,0.1549522
827.3123,0.1533585,0.1539795,0.154213,0.1513107,0.1544645,0.1555258,0.1547608,0.1541129,0.1519809,0.1518246,0.1527014,0.1521573,0.1516614
829.2407,0.1516038,0.1531568,0.1531671,0.1504743,0.1533871,0.1536846,0.1531949,0.1523862,0.1506607,0.1514029,0.1511174,0.1503146,0.149297
831.1692,0.1497421,0.1517241,0.1519819,0.1492923,0.1514458,0.1519615,0.1504175,0.1493657,0.1481916,0.1500397,0.1500504,0.148181,0.1485121
833.0977,0.1475218,0.1496402,0.1502105,0.1484959,0.1499446,0.1502081,0.1475611,0.1466822,0.1466083,0.1471463,0.1482654,0.1469018,0.1472574
835.0261,0.1449428,0.1477809,0.1475924,0.1462771,0.1485668,0.1478143,0.1456327,0.1446611,0.1459496,0.1447151,0.1469974,0.144782,0.1454895
836.9546,0.1434645,0.1452802,0.1454722,0.1438723,0.1465372,0.1458188,0.1436479,0.1427952,0.1435373,0.1431336,0.1452523,0.1421567,0.1432698
838.8831,0.1419434,0.1429105,0.143483,0.1412433,0.1439959,0.1438985,0.1420101,0.140847,0.1402238,0.1412041,0.1423966,0.1408185,0.1402066
840.8115,0.1400426,0.1408484,0.1414903,0.1392177,0.141093,0.1409954,0.1403499,0.1389498,0.137455,0.1391178,0.1396779,0.1387019,0.1380937
842.74,0.1376207,0.1387353,0.1393013,0.1372658,0.1386512,0.1381664,0.1370738,0.1368327,0.1354112,0.1369264,0.1374197,0.1363082,0.1366177
844.6685,0.1347374,0.1360354,0.1366618,0.1341928,0.1368972,0.1356214,0.1338821,0.1342822,0.1335057,0.1349626,0.1357998,0.1337251,0.1348971
846.5969,0.133426,0.1338298,0.134155,0.1316696,0.1354103,0.1339909,0.1324946,0.1320014,0.1315466,0.1333092,0.1334157,0.1319222,0.1327386
